TransactionID,CustomerID,Amount,TransactionType,Location,DeviceType,TimeOfDay,PreviousFraud,TransactionSpeed,Fraud
1,4174,3623.044171,Withdrawal,Houston,Laptop,Morning,0,18.00261236,0
2,4507,,Deposit,Miami,Mobile,Morning,0,20.2763963,0
3,1860,8760.570892,Purchase,Houston,ATM,Morning,0,39.38977991,0
4,2294,7833.76869,Purchase,Miami,Laptop,Morning,0,58.91073672,0
5,2130,1689.499795,Purchase,Los Angeles,Mobile,Afternoon,0,13.06011423,0
6,2095,5127.483033,Purchase,Chicago,Mobile,Afternoon,0,22.11547864,0
7,4772,4878.874331,Transfer,New York,POS,Morning,0,23.08234488,0
8,4092,6254.664611,Transfer,Los Angeles,Laptop,Afternoon,0,32.22280341,0
9,2638,9462.407071,Withdrawal,Houston,Mobile,Morning,0,50.26976429,0
10,3169,5801.916703,Purchase,Miami,ATM,Afternoon,0,43.80905627,0
11,1466,5406.770495,Transfer,Chicago,POS,Afternoon,0,13.11946021,0
12,2238,512.7261,Transfer,Miami,ATM,Afternoon,0,43.05166215,0
13,1330,638.4456854,Transfer,Houston,Mobile,Morning,1,8.437375831,0
14,2482,1881.594445,Purchase,Houston,POS,Morning,0,12.3151968,0
15,3135,334.3830092,Transfer,New York,Laptop,Afternoon,0,24.23204018,0
16,4444,7436.095427,Deposit,Los Angeles,POS,Night,0,21.34280127,0
17,4171,7236.069737,Purchase,Chicago,POS,Afternoon,1,52.31625235,1
18,3919,1369.201782,Purchase,New York,ATM,Morning,0,59.82339947,0
19,4735,8362.428219,Deposit,Miami,Laptop,Night,0,12.98297776,0
20,1130,1556.312488,Withdrawal,Los Angeles,Mobile,Morning,0,39.78791654,0
21,2685,,Withdrawal,Chicago,ATM,Night,0,35.36427385,0
22,4380,2497.279223,Purchase,Miami,Laptop,Night,0,46.38955434,0
23,1769,3729.347915,Purchase,Chicago,Mobile,Morning,0,42.28119177,0
24,3391,2554.091021,Purchase,Chicago,POS,Afternoon,0,17.25431207,0
25,2515,4894.619755,Deposit,Los Angeles,Laptop,Morning,1,50.60571821,0
26,4485,4080.004735,Transfer,Miami,ATM,Morning,0,29.25185248,0
27,3853,9865.829213,Deposit,New York,Mobile,Afternoon,0,56.04366852,0
28,3433,568.7042378,Transfer,New York,Mobile,Afternoon,0,34.05846135,0
29,2215,1430.39195,Transfer,New York,Laptop,Night,1,18.15808246,1
30,1955,537.7306801,Withdrawal,Chicago,Laptop,Night,0,53.87491853,0
31,3324,6262.153538,Deposit,Houston,POS,Afternoon,0,49.74904144,0
32,2184,554.5476814,Deposit,Los Angeles,Mobile,Morning,1,56.86935414,0
33,1459,8366.032976,Purchase,New York,POS,Afternoon,0,53.71859507,0
34,4385,5124.266921,Deposit,Los Angeles,POS,Afternoon,1,15.46676583,1
35,1021,5274.80617,Transfer,Chicago,ATM,Afternoon,0,49.10319808,0
36,3300,5620.329132,Transfer,Los Angeles,ATM,Morning,1,36.05693095,0
37,1747,1716.428926,Deposit,New York,Laptop,Morning,0,24.79568617,0
38,3904,1984.926128,Withdrawal,New York,Laptop,Night,1,1.450142507,1
39,4632,,Withdrawal,Chicago,Laptop,Afternoon,0,42.15954894,0
40,1474,,Purchase,Chicago,ATM,Afternoon,0,51.3793167,0
41,2082,2109.076582,Purchase,Miami,POS,Morning,1,36.64586323,1
42,3558,1172.153954,Transfer,Chicago,POS,Afternoon,0,19.33250799,0
43,4753,9701.467695,Deposit,Houston,ATM,Morning,0,4.400762219,0
44,3047,229.5983299,Transfer,Houston,Laptop,Night,0,39.8795932,0
45,4547,8028.947079,Transfer,New York,Laptop,Night,0,24.81995004,0
46,3747,7882.471144,Deposit,Chicago,POS,Night,0,30.31446284,0
47,1975,2979.168997,Transfer,Houston,Mobile,Morning,0,34.29304492,0
48,2806,1364.909894,Transfer,Houston,Mobile,Morning,0,46.34561493,0
49,1189,1464.830181,Withdrawal,Miami,Mobile,Afternoon,0,32.67037426,0
50,4005,6977.341856,Purchase,Chicago,Mobile,Night,0,32.03398478,0
51,3734,6431.637845,Withdrawal,Miami,Laptop,Morning,0,29.39430829,0
52,4005,7829.629286,Purchase,Los Angeles,ATM,Night,0,26.23159008,0
53,1562,9375.436912,Purchase,Miami,ATM,Night,1,37.75757852,0
54,2899,6922.354359,Purchase,Los Angeles,Mobile,Night,0,2.439571894,0
55,4638,1566.95685,Withdrawal,Los Angeles,ATM,Afternoon,0,43.66945901,0
56,2267,2441.991741,Deposit,Chicago,POS,Morning,0,19.56544227,0
57,3879,8423.515371,Transfer,Los Angeles,Mobile,Morning,0,22.98560833,0
58,2528,2100.967698,Deposit,Los Angeles,Laptop,Morning,1,37.23908705,0
59,4202,734.4979464,Deposit,Miami,Mobile,Afternoon,0,15.59517416,0
60,4556,,Purchase,Chicago,POS,Afternoon,1,39.86786997,0
61,4890,4031.238291,Purchase,Chicago,ATM,Afternoon,1,8.533452084,0
62,1646,9201.200125,Withdrawal,Los Angeles,ATM,Afternoon,0,39.3190327,0
63,3068,6506.04816,Withdrawal,Miami,ATM,Morning,0,43.31752326,0
64,3888,913.2855881,Transfer,Miami,Laptop,Afternoon,0,42.27331308,0
65,3214,9479.087107,Deposit,Miami,Mobile,Morning,0,46.67645683,0
66,2297,2592.987064,Deposit,Miami,Laptop,Night,0,31.49585436,0
67,3435,3378.752779,Transfer,New York,POS,Morning,1,52.02124594,1
68,1600,4028.581533,Purchase,Los Angeles,Laptop,Night,1,14.77956437,1
69,3363,521.7307211,Withdrawal,Los Angeles,Mobile,Afternoon,0,23.61716063,0
